club_name,categories,club_page,ig, discord 
SMILE (Students for Mental health and Inner Life Enrichment),"Charitable, Community Service & International Development; Games, Recreational and Social; Health Promotion",535,uwsmileclub
Stocks Club,"Academic; Business and Entrepreneurial; Games, Recreational and Social",468,letstockaboutit/
Tea and Culture Club,"Games, Recreational and Social; Health Promotion",188,uwteaclub/
Teaching Students' Association,Academic,564,uw__tsa
Tech+ UW,"Academic; Business and Entrepreneurial; Charitable, Community Service & International Development; Cultural; Media, Publications and Web Development",449,https://instagram.com/techplusuw
The AcaBellas - A Cappella Affiliate,"Creative Arts, Dance and Music; Cultural; Games, Recreational and Social",243,uwacabellas/
The Circle K International Club of University of Waterloo”,"Academic; Charitable, Community Service & International Development; Environmental and Sustainability; Health Promotion",388,uwaterloocki
The Islamic Information Center of the University Waterloo (IICUW),Cultural; Political and Social Awareness; Religious and Spiritual,295,iicuwaterloo/
The Unaccompanied Minors - A Cappella Affiliate,"Creative Arts, Dance and Music",242,uw.unaccompaniedminors
TMA (Thaqalayn Muslim Association),Religious and Spiritual,313,Not found
Turkish Students Association,"Creative Arts, Dance and Music; Cultural; Games, Recreational and Social",348,uwtsa
"Unicef, UW","Charitable, Community Service & International Development",196,unicefuwaterloo
University of Waterloo Airsoft and Precision Sports Club (UWAPC),"Games, Recreational and Social; Health Promotion",567,uwapc
University of Waterloo Bhangra,"Creative Arts, Dance and Music; Cultural; Games, Recreational and Social; Health Promotion",465,uwaterloobhangra
University of Waterloo Canadian Association on Gerontology Student Connection (UWCAG),"Academic; Charitable, Community Service & International Development; Health Promotion",446,https://instagram.com/uwcag
University of Waterloo Cantonese Chinese Christian Fellowship,"Cultural; Games, Recreational and Social; Religious and Spiritual",232,Not found
University of Waterloo Entomology Club,Academic; Environmental and Sustainability,526,uw.entomology/
University of Waterloo Filipino Students' Association,Cultural,80,uw.fsa/
University of Waterloo Japanese Students Association (UW JSA),"Creative Arts, Dance and Music; Cultural; Games, Recreational and Social; Political and Social Awareness",260,uw_jsa/
University of Waterloo Korean Students’ Association,"Academic; Cultural; Games, Recreational and Social; Media, Publications and Web Development",513,uwaterloo_ksa
University of Waterloo Moot Court,Academic,392,uwmoot/
University of Waterloo New Democratic Party,"Environmental and Sustainability; Games, Recreational and Social; Political and Social Awareness",522,uwaterloondp/
University of Waterloo Skateboarding Club,"Games, Recreational and Social",577,uwskate
University of Waterloo Zoology Club,Environmental and Sustainability,499,uwzoologyclub
University of Waterloo's Beauty Club (UWBC),"Creative Arts, Dance and Music; Games, Recreational and Social; Health Promotion; Media, Publications and Web Development",551,uwbeautyclub/
University of Waterloo’s Neuroscience Association (UWNSA),Academic,137,uwneuro
UW Board Games Club,"Games, Recreational and Social",464,uwboardgames/
UW Book Club,"Business and Entrepreneurial; Creative Arts, Dance and Music; Games, Recreational and Social; Media, Publications and Web Development; Political and Social Awareness",374,Not found
UW Builders Club,"Games, Recreational and Social",569,uwbuilders
UW Canadian Association for Global Health (UW CAGH),"Academic; Charitable, Community Service & International Development; Environmental and Sustainability; Health Promotion; Political and Social Awareness",258,cagh_uw/
UW Charity Knitting Circle,"Charitable, Community Service & International Development; Creative Arts, Dance and Music",247,knituw/
UW Chinese Instrumental Orchestra,"Creative Arts, Dance and Music; Cultural",373,Not found
UW Cuban Salsa Club,"Creative Arts, Dance and Music",283,waterloocubansalsaclub
UW Dhamaka,"Creative Arts, Dance and Music; Cultural",488,uw.dhamaka/
UW Diabetes Association (UWDA),Health Promotion,497,Not found
UW EmpowerCycle,"Academic; Charitable, Community Service & International Development; Health Promotion; Political and Social Awareness",473,uwempowercycle
UW Kpop Club,"Creative Arts, Dance and Music; Cultural; Games, Recreational and Social",461,uwkpopclub
UW Management Consulting Club,Business and Entrepreneurial,346,uwmcc
UW Mehfil,"Creative Arts, Dance and Music; Cultural",557,uw.mehfil
UW Operation Smile,"Charitable, Community Service & International Development; Health Promotion",444,https://instagram.com/uwoperationsmile
UW Persian Student Association,"Cultural; Games, Recreational and Social",579,uwpersianssa
UW Poker Studies Club,"Games, Recreational and Social",340,uwpokerclub
UW Pre-Med Club,Academic; Health Promotion,317,uwaterloopremed
UW Quizbowl,"Academic; Games, Recreational and Social",368,https://instagram.com/uwquizbowl
UW Scrabble,"Games, Recreational and Social",566,uwscrabble/
UW Sew-Ciety,"Business and Entrepreneurial; Creative Arts, Dance and Music; Environmental and Sustainability",580,uwsewciety
UW Stem Cell Club (Formerly UW One Match),"Charitable, Community Service & International Development",139,uwaterloostemcellclub
UW Street Dance,"Creative Arts, Dance and Music",345,uwstreetdance
UW Supporting SickKids,"Charitable, Community Service & International Development; Health Promotion",443,https://instagram.com/UWSupportingSickKids
UW Tetris Club,"Games, Recreational and Social",453,uwtetris
UW/UX,Academic; Business and Entrepreneurial,574,uw_ux
UWaterloo Chai and Verse,"Creative Arts, Dance and Music; Cultural",512,uwchaiandverse/
UWaterloo Meditates,Health Promotion,561,Not found
uWaTNA,"Academic; Cultural; Games, Recreational and Social",297,uwatna
UWBobaTime,"Games, Recreational and Social",476,https://instagram.com/uwbobatime
UWTSS - UW Taiwanese Student Society,"Cultural; Games, Recreational and Social",406,https://instagram.com/UWTSS
UWU FC - University of Waterloo Undergraduate Furry Club,"Creative Arts, Dance and Music; Games, Recreational and Social",576,Not found
UWVSA (University of Waterloo Vietnamese Student Association),"Charitable, Community Service & International Development; Cultural",251,uwvsa/
"Visual Arts Club, UW","Creative Arts, Dance and Music; Games, Recreational and Social",204,uwvisualartsclub/
Voices for Palestine,Cultural; Political and Social Awareness,182,uwvfp
WaterBoo!,"Games, Recreational and Social",372,waterboo_uw/
Waterloo Arab Student Association,"Cultural; Games, Recreational and Social; Political and Social Awareness",375,Not found
Waterloo Hockey Club,"Cultural; Games, Recreational and Social; Media, Publications and Web Development",510,uwhockeyclub/
Waterloo Ismaili Students' Association,Cultural,208,Not found
Waterloo Laadliyan,"Charitable, Community Service & International Development; Cultural; Political and Social Awareness; Religious and Spiritual",581,waterloolaadliyan
Waterloo Movie Watchers Club,"Creative Arts, Dance and Music; Cultural",279,uw.movie.watchers
Waterloo Quantum Club,Academic,575,uwquantum
Waterloo Real Estate Association,Business and Entrepreneurial; Environmental and Sustainability,528,wreaclub
Waterloo Science Fiction & Fantasy Club (WATSFIC),"Games, Recreational and Social",211,uwatsfic
Waterloo Snow Coalition,"Cultural; Games, Recreational and Social",370,waterloosnowco/
Waterloo Students and Microbiology (WatSAM),Academic,459,https://instagram.com/uw_watsam
"Women in Science, Technology, Engineering, and Mathematics (WiSTEM)","Academic; Games, Recreational and Social; Political and Social Awareness",284,uwwistem
Yugioh Club,"Games, Recreational and Social",424,uwyugioh/
